src        l            b       tau[1e-6]       err[1e-6]   N(H)       err       N(HI)      err        N(H2)      err
3C264.0    236.9959   073.6422     1.636759     0.079256   002.4148   000.1595   002.1900   000.0400   000.1124   000.0822
3C208.1    213.6015   033.5830     3.124496     0.041763   004.6098   000.2161   003.4900   000.0700   000.5599   000.1136
3C208.0    213.6628   033.1608     3.381684     0.068658   004.9892   000.2460   003.7800   000.0600   000.6046   000.1266
4C32.44    067.2335   081.0477     0.806284     0.022234   001.1896   000.0627   001.3600   000.0900   -00.0852   000.0548
3C263.1    228.2701   074.3753     0.977641     0.036308   001.4424   000.0841   002.1200   000.0700   -00.3388   000.0547
3C225b     220.0116   044.0083     4.918247     0.104939   007.2562   000.3610   004.1500   000.0800   001.5531   000.1849
3C410      069.2117   -03.7691    81.492981     2.647335   120.2316   006.6670   059.6900   006.6900   030.2708   004.7224
P0347+05   182.2737   -35.7311    20.790758     0.499129   030.6739   001.5628   017.0000   000.9700   006.8369   000.9197
3C272.1    280.6321   074.6873     1.725588     0.278553   002.5459   000.4266   003.0200   000.0500   -00.2371   000.2148
3C225a     219.8664   044.0247     3.533801     0.079164   005.2136   000.2618   004.3000   000.1800   000.4568   000.1589
4C07.32    322.2286   068.8350     2.324275     0.062974   003.4291   000.1799   002.6700   000.0400   000.3796   000.0922
3C245      233.1247   056.3009     2.224268     0.059192   003.2816   000.1714   002.5700   000.0400   000.3558   000.0880
3C93.1     160.0361   -15.9147    22.409589     0.736312   033.0622   001.8406   015.5700   001.3200   008.7461   001.1325
3C348      022.9710   029.1769     5.704322     0.146202   008.4159   000.4354   007.1900   000.2100   000.6130   000.2417
4C13.67    043.4971   009.1540    45.869019     1.393641   067.6734   003.6710   021.1300   001.1200   023.2717   001.9190
3C286      056.5241   080.6747     0.813897     0.049023   001.2008   000.0902   001.3400   000.0900   -00.0696   000.0637
4C13.65    039.3151   017.7180    11.795742     0.389079   017.4030   000.9701   011.5800   000.2100   002.9115   000.4963
3C190.0    207.6242   021.8412     2.405234     0.031253   003.5486   000.1660   003.5600   000.0600   -00.0057   000.0883
P0320+05   176.9818   -40.8433    14.928497     0.444995   022.0249   001.1877   014.1600   000.6200   003.9325   000.6699
3C274.1    269.8744   083.1637     2.343322     0.015144   003.4572   000.1570   002.9800   000.0600   000.2386   000.0840
3C207      212.9680   030.1390    10.489793     0.497227   015.4762   001.0109   006.6400   000.2000   004.4181   000.5152
T0629+10   201.5315   000.5079   397.591968     8.819450   586.5919   029.3976   074.8900   003.6800   255.8509   014.8135
4C12.50    347.2230   070.1718     2.190863     0.114272   003.2323   000.2225   002.3700   000.1100   000.4312   000.1241
4C04.51    007.2923   047.7470     3.400116     0.190655   005.0164   000.3605   004.5500   000.1300   000.2332   000.1916
4C33.48    066.3887   008.3713    14.652607     0.344123   021.6179   001.0962   015.7600   003.0400   002.9289   001.6158
3C111      161.6756   -08.8197   125.657272     5.415866   185.3899   011.5437   036.4300   004.4200   074.4799   006.1805
J2232      077.4379   -38.5824     4.007938     0.185913   005.9132   000.3819   005.5000   000.4100   000.2066   000.2802
3C298      352.1602   060.6666     1.296034     0.072952   001.9121   000.1377   002.3900   000.3800   -00.2389   000.2021
B2050      078.8581   -05.1238    23.229453     0.569798   034.2718   001.7547   033.8600   002.4200   000.2059   001.4946
3C225B     220.0101   044.0084     4.918247     0.104939   007.2562   000.3610   004.5500   000.2100   001.3531   000.2088
3C225A     219.8662   044.0249     3.533801     0.079164   005.2136   000.2618   004.2400   000.3000   000.4868   000.1991
PKS0531    186.7617   -07.1076    20.751053     0.624346   030.6153   001.6557   028.8400   009.7200   000.8877   004.9300
4C16.09    166.6357   -33.5959    10.390458     0.436875   015.3297   000.9434   012.1000   001.1300   001.6148   000.7360
3C48       133.9626   -28.7194     2.567572     0.091040   003.7881   000.2168   004.9500   000.4100   -00.5810   000.2319
3C327.1    012.1821   037.0047     8.358860     0.314688   012.3323   000.7230   008.7200   001.1800   001.8062   000.6919
3C147      161.6864   010.2984    17.782939     0.466624   026.2363   001.3653   020.5900   001.9500   002.8231   001.1902
3C459      083.0397   -51.2850     5.070791     0.193242   007.4813   000.4408   006.2900   000.4900   000.5956   000.3296
3C345      063.4550   040.9489     1.184402     0.068281   001.7474   000.1277   001.0100   000.1300   000.3687   000.0911
