,,,,,,Summary HI,,,,,,,,,,No CO & no OH:,,,,,,OK src:,,OH detection limit:,,Low-N(HI):,,,,,,,,,
,,,,,,,,,,,,,,,,21,,,,,,34,,0.003999,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,N(HI,er,N*(HI),er,CNM,er,WNM,er,E(B-V)SF2011,Er,Av,MS,SPONGE,HI,CO,OH,N(OH)67/e14,er,TauSig(1665),TauSig1667,Molecule,Observed-HI-only,Semi-atomic,No-Mol1,No-Mol2,low-N(HI),OK? Atomic,Note:,,"Cat1: No OH&CO detection, sigmaOH67<0.004:",,
74,3C190.0,207.6242,21.8412,3.55,0.05,3.7057,1.0167,0,0,3.55,0.0518,0.0263,0.0009,0.0824,1,0,1,-1,0,0,0,0.00193383,0.00175741,0,0,0,0,1,0,1,,,,,
1,3C33,129.4481,-49.3244,3.66,0.05,3.5581,0.0857,2.22,0.0306,1.44,0.045,0.0231,0.0017,0.0722,1,0,1,0,0,0,0,0.00139182,0.00121437,0,0,0,1,0,0,1,,,,,
9,3C33-1,129.4392,-49.3432,3.68,0.15,3.5146,1.0563,2.59,0.1185,1.08,0.0951,0.0223,0.0019,0.0718,1,0,1,-1,0,0,0,0.00494482,0.00408653,0,0,1,0,0,0,0,,,,,
59,3C208.0,213.6628,33.1608,3.77,0.06,3.84,0.204,0,0,3.77,0.0564,0.0287,0.0009,0.0902,1,0,1,-1,0,0,0,0.00182362,0.0019689,0,0,0,0,1,0,1,,,,,
33,3C33-2,129.462,-49.2774,3.83,0.2,3.624,1.2619,2.55,0.1562,1.29,0.1226,0.024,0.0012,0.0758,1,0,1,-1,0,0,0,0.0146532,0.0154013,0,0,1,0,0,0,0,,,,,
66,3C225a,219.8662,44.0249,4.24,0.3,4.1902,0.1057,1.19,0.2965,3.05,0.0595,0.0467,0.0032,0.1451,1,1,1,0,0,0,0,0.00867123,0.00976312,0,0,1,0,0,0,0,,,,,
62,3C225b,220.0101,44.0084,4.55,0.21,4.171,0.0939,0.98,0.176,3.57,0.1148,0.046,0.0027,0.1462,1,1,1,0,0,0,0,0.00493186,0.00400359,0,0,1,0,0,0,0,,,,,
81,4C04.51,7.2923,47.747,4.55,0.13,4.6706,0.1074,0.24,0.0608,4.31,0.1126,0.0433,0.0012,0.135,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
18,3C310,38.5004,60.2098,4.79,0.12,4.3868,0.0733,1.51,0.0978,3.28,0.0702,0.0348,0.0015,0.1095,1,0,1,0,0,0,0,0.00169883,0.00161939,0,0,0,1,0,0,1,,,,,
89,3C48,133.9626,-28.7194,4.95,0.41,5.121,0.1622,0.7,0.3565,4.25,0.194,0.0377,0.0007,0.1165,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
36,3C192,197.9126,26.4098,5.07,0.06,4.9891,0.0808,0.66,0.0379,4.41,0.0413,0.0471,0.0013,0.148,1,0,1,0,0,0,0,0.00159108,0.00206581,0,0,0,1,0,0,1,,,,,
34,P0820+22,201.3636,29.6761,5.33,0.27,5.3209,1.1824,0,0,5.33,0.2663,0.0359,0.0011,0.1101,1,0,1,-1,0,0,0,0.000804122,0.000709089,0,0,0,0,1,0,1,,,,,
84,J2232,77.4379,-38.5824,5.5,0.41,5.6861,0.2157,1.21,0.3688,4.29,0.1682,0.0612,0.0015,0.1914,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
28,3C318,29.9821,54.7856,6.06,0.19,5.3113,0.0708,2.28,0.1824,3.78,0.0609,0.0539,0.0014,0.1679,1,0,1,0,0,0,0,0.00465188,0.00472419,0,0,1,0,0,0,0,,,,,
19,3C315,39.3605,58.303,6.1,0.48,5.1819,0.0544,2.88,0.2604,3.21,0.4054,0.053,0.0007,0.1654,1,0,1,0,0,0,0,0.00137524,0.00129648,0,0,0,1,0,0,1,,,,,
92,3C459,83.0397,-51.285,6.29,0.49,6.437,0.2624,1.17,0.4928,5.12,0.0409,0.0564,0.0009,0.174,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
35,3C333,37.3001,42.9721,6.44,0.42,5.6879,0.0542,1.41,0.4081,5.03,0.1027,0.0756,0.0011,0.239,1,0,1,0,0,0,0,0.00803355,0.00684648,0,0,1,0,0,0,0,,,,,
77,3C207,212.968,30.139,6.72,0.19,6.2321,0.1221,1.25,0.1597,5.47,0.1096,0.0759,0.0042,0.2598,1,0,1,1,1,0.1207,0.0227,0.000472976,0.000493333,1,0,0,0,0,0,0,,,,,
30,3C454.0,88.1001,-35.9413,6.94,0.14,6.6565,0.1218,1.73,0.0647,5.2,0.1236,0.0499,0.0021,0.1541,1,0,1,0,-1,-1,-1,-1,999,0,0,1,0,0,0,0,,,,,
70,3C348,22.971,29.1769,7.3,0.2,6.6708,0.0762,2.09,0.1921,5.22,0.0589,0.0821,0.0013,0.2522,1,0,1,0,0,0,0,0.00184684,0.00165106,0,0,0,1,0,0,1,,,,,
2,3C18,118.6218,-52.7266,7.75,1.23,6.5225,0.0397,6.8,1.2281,0.94,0.0707,0.1395,0.0175,0.4244,1,0,1,1,1,0.398,0.22794385,0.000761024,0.000771895,1,0,0,0,0,0,0,,,,,
32,3C454.3,86.111,-38.1838,7.9,15.75,8.199,0.252,1.99,15.7389,5.92,0.6299,0.0889,0.0041,0.2873,1,1,1,1,1,0.1047,0.0781,0.000290998,0.000306314,1,0,0,0,0,0,0,,,,,
29,3C64,157.7658,-48.2032,8.12,0.23,7.653,0.9257,3.81,0.2046,4.31,0.0957,0.0795,0.0033,0.2477,1,0,1,0,0,0,0,0.00229139,0.00331203,0,0,0,1,0,0,1,,,,,
90,3C327.1,12.1821,37.0047,8.72,1.18,8.2786,0.1716,1.76,1.1704,6.96,0.1069,0.1147,0.0018,0.3523,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
43,3C172.0,191.2045,13.4105,9.9,0.18,9.5051,1.2217,0.69,0.0961,9.21,0.1535,0.0566,0.0009,0.1781,1,0,1,-1,0,0,0,0.00118202,0.00130233,0,0,0,0,1,0,1,,,,,
13,3C75,170.2558,-44.9111,10.09,0.22,9.3856,0.1005,3.28,0.1975,6.8,0.102,0.1547,0.0045,0.4875,1,0,1,1,1,0.1424,0.0648,0.00101047,0.0010996,1,0,0,0,0,0,0,,,,,
7,3C75-1,170.2162,-44.9112,10.18,0.26,9.4857,1.2558,2.73,0.2264,7.46,0.1188,0.1511,0.0044,0.4681,1,0,1,-1,0,0,0,0.0120861,0.0122324,0,0,1,0,0,0,0,,,,,
42,3C433,74.4764,-17.6945,10.38,2.1,9.8922,0.2187,1.15,2.0948,9.23,0.1264,0.1247,0.0077,0.3896,1,1,1,0,-1,-1,-1,-1,999,0,0,1,0,0,0,0,,,,,
6,3C75-2,170.2958,-44.9192,10.5,0.27,9.802,1.0821,2.83,0.2326,7.67,0.1325,0.1543,0.0044,0.4806,1,0,1,-1,0,0,0,0.012563,0.0122118,0,0,1,0,0,0,0,,,,,
73,4C13.65,39.3151,17.718,11.75,0.19,10.914,0.1527,2.04,0.1682,9.71,0.0772,0.1189,0.0039,0.374,1,0,1,0,0,0,0,0.00193377,0.0020015,0,0,0,1,0,0,1,,,,,
88,4C16.09,166.6357,-33.5959,12.1,1.13,11.3604,0.2969,3.27,1.1038,8.83,0.2449,0.1311,0.0041,0.4059,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
10,3C79,164.1487,-34.4565,12.15,1.3,10.865,0.8578,9.05,0.9765,3.1,0.8583,0.11,0.0025,0.3404,1,0,1,-1,0,0,0,0.00434325,0.00370342,0,0,0,0,1,0,1,,,,,
52,CTA21,166.6357,-33.5961,12.19,0.39,11.1026,0.8544,4.09,0.3795,8.1,0.1087,0.1311,0.0041,0.4059,1,0,1,-1,0,0,0,0.00276281,0.00273542,0,0,0,0,1,0,1,,,,,
49,3C98-2,179.8288,-31.0241,13.09,0.51,11.9771,1.3172,6.55,0.4825,6.54,0.1557,0.1955,0.0043,0.5973,1,0,1,-1,0,0,0,0.00417908,0.00405798,0,0,1,0,0,0,0,,,,,
12,3C98-1,179.8593,-31.0859,13.29,0.43,12.3295,0.9274,7.77,0.407,5.52,0.1387,0.19,0.0067,0.5916,1,0,1,-1,0,0,0,0.00420745,0.00406987,0,0,1,0,0,0,0,,,,,
11,3C78,174.8581,-44.5133,13.74,1.93,11.0369,0.468,3.81,1.9097,9.93,0.2685,0.1479,0.0024,0.4573,1,1,1,0,0,0,0,0.00144912,0.00132483,0,0,0,1,0,0,1,,,,,
46,3C353,21.1108,19.877,13.95,0.99,11.1269,0.2821,9.11,0.9882,4.84,0.1092,0.3784,0.0067,1.19,1,0,1,1,-1,-1,-1,-1,999,1,0,0,0,0,0,0,,,,,
37,3C98,179.8374,-31.049,14.15,0.52,12.4884,1.4678,7.95,0.5045,6.2,0.1208,0.193,0.0054,0.6019,1,0,1,0,0,0,0,0.00115233,0.00122644,0,0,0,1,0,0,1,,,,,
75,P0320+05,176.9818,-40.8433,14.25,0.61,12.5968,0.9372,6.5,0.4029,7.75,0.4548,0.1714,0.002,0.5387,1,0,1,-1,0,0,0,0.00621436,0.00612048,0,0,1,0,0,0,0,,,,,
69,3C93.1,160.0361,-15.9147,15.55,1.32,12.1261,1.0273,4.44,1.2448,11.11,0.4247,0.3287,0.0141,1.0543,1,0,1,-1,0,0,0,0.00914696,0.00921035,0,0,1,0,0,0,0,,,,,
82,4C33.48,66.3887,8.3713,15.76,3.04,15.3627,0.1902,1.54,3.0009,14.22,0.4809,0.1755,0.0029,0.5534,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
