,,,,,Origin HI data,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#,Name,l,b,N(HI),er,N*(HI),er,CNM,er,WNM,er
36,3C192,197.9126,26.4098,3.97,0.04,3.9596,0.0641,0.0285,0.0285,0.0328,0.0328
89,3C48,133.9626,-28.7194,4.95,0.41,5.121,0.1622,0.3565,0.3565,0.194,0.194
18,3C310,38.5004,60.2098,3.71,0.1,3.4816,0.0582,0.0773,0.0773,0.0557,0.0557
62,3C225b,220.0101,44.0084,4.55,0.21,4.171,0.0939,0.176,0.176,0.1148,0.1148
81,4C04.51,7.2923,47.747,4.55,0.13,4.6706,0.1074,0.0608,0.0608,0.1126,0.1126
66,3C225a,219.8662,44.0249,4.24,0.3,4.1902,0.1057,0.2965,0.2965,0.0595,0.0595
33,3C33-2,129.462,-49.2774,2.92,0.15,2.8762,1.0015,0.1174,0.1174,0.0973,0.0973
59,3C208.0,213.6628,33.1608,2.99,0.04,3.0476,0.1619,0,0,0.0448,0.0448
9,3C33-1,129.4392,-49.3432,2.81,0.12,2.7894,0.8383,0.0886,0.0886,0.0754,0.0754
1,3C33,129.4481,-49.3244,2.78,0.04,2.8239,0.068,0.0232,0.0232,0.0357,0.0357
74,3C190.0,207.6242,21.8412,2.82,0.04,2.941,0.8069,0,0,0.0411,0.0411
54,4C20.33,20.1848,66.8341,2.69,0.05,2.6865,0.2204,0.0292,0.0292,0.0394,0.0394
58,3C208.1,213.6015,33.583,2.76,0.05,2.7851,0.1598,0,0,0.0522,0.0522
25,3C228.0,220.8313,46.6355,2.61,0.04,2.6652,0.158,0.0215,0.0215,0.0369,0.0369
45,4C19.44,8.9924,73.0418,2.65,0.04,2.6324,0.5363,0,0,0.0449,0.0449
65,3C272.1,280.6321,74.6873,2.39,0.03,2.426,0.3032,0.0218,0.0218,0.0248,0.0248
76,3C274.1,269.8744,83.1637,2.36,0.04,2.286,0.1201,0.0193,0.0193,0.0293,0.0293
40,DW0742+10,209.796,16.5911,2.43,0.04,2.4383,0.7975,0,0,0.0435,0.0435
39,3C267.0,256.3418,70.1102,2.33,0.03,2.3236,0.3146,0,0,0.027,0.027
67,4C07.32,322.2286,68.835,2.11,0.03,2.0761,0.2568,0.0219,0.0219,0.0244,0.0244
68,3C245,233.1247,56.3009,2.03,0.03,2.1298,0.1329,0.0262,0.0262,0.0225,0.0225
23,3C237,232.1171,46.6273,2.6,0.23,2.614,0.07,0.1982,0.1982,0.1119,0.1119
85,3C298,352.1602,60.6666,2.39,0.38,2.5657,0.0969,0.3694,0.3694,0.0851,0.0851
38,3C273,289.9509,64.36,2.37,0.19,2.5482,0.053,0.1901,0.1901,0.0271,0.0271
80,4C12.50,347.223,70.1718,2.37,0.11,2.5519,0.1045,0.1107,0.1107,0.0262,0.0262
57,3C264.0,236.9959,73.6422,1.73,0.03,1.7598,0.3485,0,0,0.0252,0.0252
41,P1055+20,222.5101,63.1302,1.57,0.04,1.5733,0.0607,0.0267,0.0267,0.0234,0.0234
61,3C263.1,228.2701,74.3753,1.68,0.05,1.6732,0.3024,0,0,0.0462,0.0462
21,3C234,200.205,52.7049,1.61,0.04,1.6383,1.0084,0,0,0.0437,0.0437
56,P1117+14,240.438,65.7884,1.57,0.02,1.5417,0.2614,0,0,0.0177,0.0177
48,3C293,54.6071,76.0603,1.28,0.05,1.2956,0.9682,0,0,0.0457,0.0457
22,3C236,190.064,53.9808,1.21,0.04,1.1817,1.0788,0,0,0.0386,0.0386
60,4C32.44,67.2335,81.0477,1.36,0.09,1.5775,0.1181,0.0869,0.0869,0.0313,0.0313
72,3C286,56.5241,80.6747,1.34,0.09,1.4944,0.1101,0.0241,0.0241,0.0876,0.0876
79,3C223,188.4047,48.659,1.04,1.28,1.0421,1.2825,0,0,1.2825,1.2825
93,3C345,63.455,40.9489,1.01,0.13,1.0397,0.0205,0.0002,0.0002,0.1285,0.1285
