,,,,,N(H) from Dust,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,t353(e6),er,tauNH,er,E(B-V),er,ebvNH,er,R(e11),er,rNH,er,Av,OH?,Molecule,Observed-HI-only,Semi-atomic,No-Mol1,No-Mol2,low-N(HI),OK? Atomic
25,3C228.0,220.8313,46.6355,3.37,0.06,2.3498187147,0.0417542196,3.2720990621,0.1292023978,0.0288,0.0011,3.2806656,0.1739006371,0.6395283947,0.0201859219,2.9765889838,0.1441650952,0.0895,-1,0,1,0,0,0,0,0
26,4C22.12,188.0524,0.047,107.33,19.19,67.73367204,1.1847878341,94.318460979,3.7125723907,0.823,0.014,93.749576,3.7970034342,10.5458730104,0.3312301458,49.084184046,2.3723344279,2.5495,1,1,0,0,0,0,0,0
27,NRAO140,158.9996697,-18.7650247,37.09,22.97,34.3634055753,1.5973600966,47.8506986295,2.791875264,0.6138,0.0762,69.9191856,9.0525510953,12.4823714032,0.6653610739,58.0973253403,3.7610137032,1.9287,0,0,0,1,0,0,0,0
28,3C318,29.9821,54.7856,6.06,0.19,4.14701708,0.1897342372,5.7746798137,0.333567275,0.0539,0.0014,6.1398568,0.276338162,1.5813114374,0.0832823285,7.3599768884,0.4726031382,0.1679,0,0,0,1,0,0,0,0
29,3C64,157.7658,-48.2032,8.12,0.23,6.5480048761,0.3452255442,9.1180313099,0.578333739,0.0795,0.0033,9.056004,0.5021010734,1.827988001,0.1075280415,8.5080959523,0.5900502871,0.2477,0,0,0,0,1,0,0,1
30,3C454.0,88.1001,-35.9413,6.94,0.14,3.9622964323,0.0764425749,5.517458159,0.2217722942,0.0499,0.0021,5.6842088,0.3176084972,1.1528327804,0.0374045754,5.3656872512,0.2629850663,0.1541,-1,0,0,1,0,0,0,0
31,P0531+19,186.7634,-7.1085,30.36,0.82,20.7510529435,0.6243462849,28.8956337133,1.3394191405,0.3022,0.0085,34.4242064,1.5932628901,5.0628420922,0.2016120092,23.564239092,1.27666584,0.9372,0,0,0,0,1,0,0,1
32,3C454.3,86.111,-38.1838,7.9,15.75,6.8568624556,0.3579052645,9.5481124008,0.6014477215,0.0889,0.0041,10.1267768,0.5972212612,2.167635671,0.1264870634,10.0889350851,0.6956613713,0.2873,1,1,0,0,0,0,0,0
33,3C33-2,129.462,-49.2774,3.83,0.2,1.9739934487,0.0596921836,2.7487661374,0.1276867677,0.024,0.0012,2.733888,0.1696554036,0.6054013113,0.0241777659,2.8177495933,0.152898369,0.0758,0,0,0,1,0,0,0,0
34,P0820+22,201.3636,29.6761,5.33,0.27,3.7284976315,0.1119585704,5.1918956669,0.2404625868,0.0359,0.0011,4.0894408,0.1956896534,0.9632734077,0.0383159831,4.4834115852,0.2427543216,0.1101,0,0,0,0,0,1,0,1
35,3C333,37.3001,42.9721,6.44,0.42,5.6953695093,0.2684942046,7.9307450881,0.4668932044,0.0756,0.0011,8.6117472,0.3404325159,1.7605363212,0.0948559702,8.1941522264,0.5343461807,0.239,0,0,0,1,0,0,0,0
36,3C192,197.9126,26.4098,5.07,0.06,3.379041118,0.0785041721,4.7052809664,0.1986925349,0.0471,0.0013,5.3652552,0.2466156788,1.2237538272,0.0427489039,5.6957786255,0.2887355163,0.148,0,0,0,0,1,0,0,1
37,3C98,179.8374,-31.049,14.15,0.52,13.7192255352,0.4064422683,19.1038843655,0.8798358735,0.193,0.0054,21.985016,1.0155658461,3.6561411321,0.1443233186,17.016960478,0.9176067049,0.6019,0,0,0,0,1,0,0,1
38,3C273,289.9509,64.36,2.37,0.19,1.3044120806,0.0853127631,1.8163807781,0.1349632278,0.0179,0.0004,2.0390248,0.087710402,0.5102326028,0.0359274474,2.374801115,0.1886075796,0.055,0,0,0,0,1,0,0,1
39,3C267.0,256.3418,70.1102,2.94,0.03,1.5880469846,0.0430695763,2.2113395456,0.0983726381,0.0285,0.0008,3.246492,0.1501459073,0.7667389923,0.0288530638,3.5686716288,0.1876716318,0.0903,-1,0,1,0,0,0,0,0
40,DW0742+10,209.796,16.5911,3.06,0.05,1.5961588815,0.0311548547,2.2226352809,0.08958039,0.0219,0.0005,2.4946728,0.1079435647,0.5806331771,0.0189174772,2.7024700278,0.1326962282,0.0675,0,0,0,0,0,1,0,1
41,P1055+20,222.5101,63.1302,2.14,0.06,1.1042651522,0.0292623099,1.5376781818,0.0678258175,0.0211,0.0008,2.4035432,0.1269227336,0.5250903001,0.0195256288,2.4439540384,0.1277472348,0.0657,0,0,0,1,0,0,0,0
42,3C433,74.4764,-17.6945,10.38,2.1,8.9226114142,0.345292392,12.4246471681,0.6504857112,0.1247,0.0077,14.2048264,1.0207572383,2.7334394304,0.1275702185,12.7223838127,0.7556274077,0.3896,-1,0,0,1,0,0,0,0
43,3C172.0,191.2045,13.4105,9.9,0.18,5.6554467847,0.0793638719,7.8751530932,0.2988762768,0.0566,0.0009,6.4474192,0.2582066695,1.5049312196,0.0445789813,7.0044766221,0.3305446914,0.1781,0,0,0,0,0,1,0,1
44,P0428+20,176.8082,-18.5568,30.15,3.11,35.9279838449,1.1231277313,50.0293582242,2.3575615789,0.457,0.0309,52.057784,4.0063448112,8.3588520283,0.3403346291,38.905022938,2.1334831548,1.4395,1,1,0,0,0,0,0,0
45,4C19.44,8.9924,73.0418,3.34,0.06,4.1777079787,0.2013721314,5.8174165832,0.3474318787,0.0501,0.0024,5.7069912,0.3445914864,1.2367851809,0.0677857774,5.7564311069,0.3798112662,0.1556,0,0,0,1,0,0,0,0
46,3C353,21.1108,19.877,13.95,0.99,28.1089105556,0.8517035894,39.1413768596,1.8197614119,0.3784,0.0067,43.1043008,1.7585873045,5.6040636309,0.2240663491,26.0832735606,1.4162305363,1.19,-1,1,0,0,0,0,0,0
47,3C167,207.3119,1.1529,63.68,3.05,51.8641172675,0.5906258593,72.2202646539,2.6761432152,0.5733,0.0105,65.3057496,2.6818677128,9.7368820207,0.2771532369,45.3188568329,2.1060827957,1.7793,1,1,0,0,0,0,0,0
48,3C293,54.6071,76.0603,1.61,0.06,1.3121472193,0.0903687578,1.8271518814,0.1413725656,0.0137,0.0006,1.5605944,0.0892280714,0.4560858002,0.0335888844,2.1227829443,0.1747040446,0.0446,0,0,0,0,0,1,0,1
49,3C98-2,179.8288,-31.0241,13.09,0.51,13.7986662594,0.394050403,19.2145047795,0.8718642915,0.1955,0.0043,22.269796,0.9539115342,3.70210131,0.1431923483,17.230875232,0.9191541496,0.5973,0,0,0,1,0,0,0,0
50,3C105,187.6326,-33.609,18.68,1.85,33.8257232215,1.0026851669,47.1019813287,2.169811014,0.3973,0.0254,45.2572376,3.3374705577,7.304811902,0.2884446215,33.9991512762,1.8336549758,1.2716,1,1,0,0,0,0,0,0
51,3C120,190.3729,-27.3968,22.22,2.26,29.2593922495,1.0752082744,40.7434111135,2.0750300371,0.2554,0.0019,29.0931248,1.091029893,5.0863724255,0.2292202352,23.6737574985,1.3764184211,0.793,0,0,0,0,1,0,0,1
52,CTA21,166.6357,-33.5961,12.19,0.39,10.3904576463,0.4368748705,14.4686083679,0.7939637397,0.1311,0.0041,14.9338632,0.7207127471,2.5714535923,0.1272382861,11.9684450272,0.7375767142,0.4059,0,0,0,0,0,1,0,1
