,,,,,N(H2) vs N(OH),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,tauNH,er,tNH2,er,ebver,ebvNH,er,eNH2,er,rNH,er,rNH2,er,Av,OH?,N(OH),er
25,3C228.0,220.8313,46.6355,3.37,0.06,3.2720990621,0.1292023978,-0.048950469,0.0712272062,0.0011,3.2806656,0.1739006371,-0.0446672,0.0919802038,2.9765889838,0.1441650952,-0.1967055081,0.0780762042,0.0895,-1,-1,-1
26,4C22.12,188.0524,0.047,107.33,19.19,94.318460979,3.7125723907,-6.5057695105,9.7729127408,0.014,93.749576,3.7970034342,-6.790212,9.7810190558,49.084184046,2.3723344279,-29.122907977,9.6680410456,2.5495,1,0.2969,0.06048446
27,NRAO140,158.9996697,-18.7650247,37.09,22.97,47.8506986295,2.791875264,5.3803493148,11.5695231912,0.0762,69.9191856,9.0525510953,16.4145928,12.3447314808,58.0973253403,3.7610137032,10.5036626702,11.6379349981,1.9287,0,0,0
28,3C318,29.9821,54.7856,6.06,0.19,5.7746798137,0.333567275,-0.1426600932,0.1919421312,0.0014,6.1398568,0.276338162,0.0399284,0.1676773537,7.3599768884,0.4726031382,0.6499884442,0.2546830021,0.1679,0,0,0
29,3C64,157.7658,-48.2032,8.12,0.23,9.1180313099,0.578333739,0.499015655,0.3111952416,0.0033,9.056004,0.5021010734,0.468002,0.2761365097,8.5080959523,0.5900502871,0.1940479762,0.3166462306,0.2477,0,0,0
30,3C454.0,88.1001,-35.9413,6.94,0.14,5.517458159,0.2217722942,-0.7112709205,0.1311325193,0.0021,5.6842088,0.3176084972,-0.6278956,0.1735476573,5.3656872512,0.2629850663,-0.7871563744,0.1489640436,0.1541,-1,-1,-1
31,P0531+19,186.7634,-7.1085,30.36,0.82,28.8956337133,1.3394191405,-0.7321831434,0.7852457631,0.0085,34.4242064,1.5932628901,2.0321032,0.8959473529,23.564239092,1.27666584,-3.397880454,0.7586625843,0.9372,0,0,0
32,3C454.3,86.111,-38.1838,7.9,15.75,9.5481124008,0.6014477215,0.8240562004,7.8807398029,0.0041,10.1267768,0.5972212612,1.1133884,7.8806594463,10.0889350851,0.6956613713,1.0944675426,7.8826779197,0.2873,1,0.1047,0.0781
33,3C33-2,129.462,-49.2774,3.83,0.2,2.7487661374,0.1276867677,-0.5406169313,0.1186422254,0.0012,2.733888,0.1696554036,-0.548056,0.1311325245,2.8177495933,0.152898369,-0.5061252034,0.1258748498,0.0758,0,0,0
34,P0820+22,201.3636,29.6761,5.33,0.27,5.1918956669,0.2404625868,-0.0690521665,0.1807776643,0.0011,4.0894408,0.1956896534,-0.6202796,0.166729152,4.4834115852,0.2427543216,-0.4232942074,0.1815417725,0.1101,0,0,0
35,3C333,37.3001,42.9721,6.44,0.42,7.9307450881,0.4668932044,0.745372544,0.3140020957,0.0011,8.6117472,0.3404325159,1.0858736,0.2703212431,8.1941522264,0.5343461807,0.8770761132,0.339825632,0.239,0,0,0
36,3C192,197.9126,26.4098,5.07,0.06,4.7052809664,0.1986925349,-0.1823595168,0.1037770729,0.0013,5.3652552,0.2466156788,0.1476276,0.1269047803,5.6957786255,0.2887355163,0.3128893127,0.1474518552,0.148,0,0,0
37,3C98,179.8374,-31.049,14.15,0.52,19.1038843655,0.8798358735,2.4769421828,0.5110066449,0.0054,21.985016,1.0155658461,3.917508,0.5704765525,17.016960478,0.9176067049,1.433480239,0.5273523644,0.6019,0,0,0
38,3C273,289.9509,64.36,2.37,0.19,1.8163807781,0.1349632278,-0.276809611,0.1165279718,0.0004,2.0390248,0.087710402,-0.1654876,0.1046340225,2.374801115,0.1886075796,0.0024005575,0.1338588987,0.055,0,0,0
39,3C267.0,256.3418,70.1102,2.94,0.03,2.2113395456,0.0983726381,-0.3643302272,0.0514226991,0.0008,3.246492,0.1501459073,0.153246,0.076556831,3.5686716288,0.1876716318,0.3143358144,0.0950271558,0.0903,-1,-1,-1
40,DW0742+10,209.796,16.5911,3.06,0.05,2.2226352809,0.08958039,-0.4186823595,0.0512948493,0.0005,2.4946728,0.1079435647,-0.2826636,0.0594806968,2.7024700278,0.1326962282,-0.1787649861,0.0709018494,0.0675,0,0,0
41,P1055+20,222.5101,63.1302,2.14,0.06,1.5376781818,0.0678258175,-0.3011609091,0.0452778685,0.0008,2.4035432,0.1269227336,0.1317716,0.0701950502,2.4439540384,0.1277472348,0.1519770192,0.0705679743,0.0657,0,0,0
42,3C433,74.4764,-17.6945,10.38,2.1,12.4246471681,0.6504857112,1.0223235841,1.0992192298,0.0077,14.2048264,1.0207572383,1.9124132,1.1674700574,12.7223838127,0.7556274077,1.1711919064,1.1159046531,0.3896,-1,-1,-1
43,3C172.0,191.2045,13.4105,9.9,0.18,7.8751530932,0.2988762768,-1.0124234534,0.174447004,0.0009,6.4474192,0.2582066695,-1.7262904,0.1573774795,7.0044766221,0.3305446914,-1.4477616889,0.1881885975,0.1781,0,0,0
44,P0428+20,176.8082,-18.5568,30.15,3.11,50.0293582242,2.3575615789,9.9396791121,1.9512942242,0.0309,52.057784,4.0063448112,10.953892,2.5358873568,38.905022938,2.1334831548,4.377511469,1.8857260122,1.4395,1,0.4704,0.07555958
