,,,,,Old HI data,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#,Name,l,b,N(HI),er,N*(HI),er,CNM,er,WNM,er
36,3C192,197.9126,26.4098,5.02,0.07,5.0049,0.0927,0.0364,0.0364,0.0575,3C192
89,3C48,133.9626,-28.7194,4.95,0.41,5.121,0.1622,0.3565,0.3565,0.194,3C48
18,3C310,38.5004,60.2098,4.69,0.13,4.4007,0.0835,0.0985,0.0985,0.0764,3C310
62,3C225b,220.0101,44.0084,4.55,0.21,4.171,0.0939,0.176,0.176,0.1148,3C225b
81,4C04.51,7.2923,47.747,4.55,0.13,4.6706,0.1074,0.0608,0.0608,0.1126,4C04.51
66,3C225a,219.8662,44.0249,4.24,0.3,4.1902,0.1057,0.2965,0.2965,0.0595,3C225a
33,3C33-2,129.462,-49.2774,3.69,0.19,3.6355,1.2663,0.15,0.15,0.1235,3C33-2
59,3C208.0,213.6628,33.1608,3.78,0.06,3.8522,0.2076,0,0,0.0661,3C208.0
9,3C33-1,129.4392,-49.3432,3.55,0.16,3.5258,1.0601,0.1142,0.1142,0.0958,3C33-1
1,3C33,129.4481,-49.3244,3.51,0.06,3.5694,0.0918,0.0348,0.0348,0.047,3C33
74,3C190.0,207.6242,21.8412,3.56,0.06,3.7174,1.0205,0,0,0.0611,3C190.0
54,4C20.33,20.1848,66.8341,3.4,0.07,3.3957,0.2803,0.0374,0.0374,0.0555,4C20.33
58,3C208.1,213.6015,33.583,3.49,0.07,3.5204,0.2045,0,0,0.0731,3C208.1
25,3C228.0,220.8313,46.6355,3.3,0.06,3.3688,0.202,0.0275,0.0275,0.0531,3C228.0
45,4C19.44,8.9924,73.0418,3.35,0.06,3.3274,0.6785,0,0,0.0643,4C19.44
65,3C272.1,280.6321,74.6873,3.02,0.05,3.0665,0.3842,0.0279,0.0279,0.0389,3C272.1
76,3C274.1,269.8744,83.1637,2.98,0.06,2.8895,0.154,0.0246,0.0246,0.0438,3C274.1
40,DW0742+10,209.796,16.5911,3.07,0.06,3.082,1.0084,0,0,0.0615,DW0742+10
39,3C267.0,256.3418,70.1102,2.95,0.05,2.937,0.3985,0,0,0.0432,3C267.0
67,4C07.32,322.2286,68.835,2.67,0.04,2.6242,0.3255,0.0279,0.0279,0.037,4C07.32
68,3C245,233.1247,56.3009,2.57,0.04,2.6921,0.1697,0.0336,0.0336,0.0335,3C245
23,3C237,232.1171,46.6273,2.6,0.23,2.614,0.07,0.1982,0.1982,0.1119,3C237
85,3C298,352.1602,60.6666,2.39,0.38,2.5657,0.0969,0.3694,0.3694,0.0851,3C298
38,3C273,289.9509,64.36,2.37,0.19,2.5482,0.053,0.1901,0.1901,0.0271,3C273
80,4C12.50,347.223,70.1718,2.37,0.11,2.5519,0.1045,0.1107,0.1107,0.0262,4C12.50
57,3C264.0,236.9959,73.6422,2.19,0.04,2.2244,0.441,0,0,0.0374,3C264.0
41,P1055+20,222.5101,63.1302,1.98,0.05,1.9887,0.0788,0.034,0.034,0.0326,P1055+20
61,3C263.1,228.2701,74.3753,2.12,0.07,2.1149,0.3827,0,0,0.0614,3C263.1
21,3C234,200.205,52.7049,2.04,0.05,2.0708,1.2748,0,0,0.0582,3C234
56,P1117+14,240.438,65.7884,1.98,0.03,1.9487,0.3309,0,0,0.0286,P1117+14
48,3C293,54.6071,76.0603,1.62,0.06,1.6376,1.2239,0,0,0.0596,3C293
22,3C236,190.064,53.9808,1.53,0.05,1.4937,1.3637,0,0,0.0507,3C236
60,4C32.44,67.2335,81.0477,1.36,0.09,1.5775,0.1181,0.0869,0.0869,0.0313,4C32.44
72,3C286,56.5241,80.6747,1.34,0.09,1.4944,0.1101,0.0241,0.0241,0.0876,3C286
79,3C223,188.4047,48.659,1.32,1.62,1.3172,1.6211,0,0,1.6211,3C223
93,3C345,63.455,40.9489,1.01,0.13,1.0397,0.0205,0.0002,0.0002,0.1285,3C345
