 Tpeak    e      tau      e      VLSR   e    DelV    e     Tspin     e     Tkmax      NHI  CNM   Frac   e    Name    OH_compnt
   K      K                      km/s km/s   km/s   km/s     K       K       K   10+20cm-2                            
===========================================================================================================================
 11.61  -88.8    0.068   0.003  -23.7  0.1    4.35  0.22   176.60   5.51     412      1.02   5  -77.7 -77.7  3C154    -
 24.81  -88.8    0.709   0.014   -2.9  0.0    4.45  0.06    48.85  14.40     433      3.01   3  -77.7 -77.7  3C154    -
  6.05  -88.8    0.292   0.019   -2.1  0.0    1.32  0.10    23.87  18.23      37      0.18   2  -77.7 -77.7  3C154    0,1
 75.24   0.85    0.041   -10.0    1.4  0.0   18.23  0.11  1830.00  -88.8    7267     26.72  -9   0.76  0.18  3C154    -
 30.83  -88.8    0.919   0.014    1.8  0.0    2.63  0.07    51.28  18.44     151      2.42   1  -77.7 -77.7  3C154    2
 19.70  -88.8    0.479   0.007    5.0  0.1    3.47  0.10    51.78  15.58     263      1.68   0  -77.7 -77.7  3C154    -
 10.83  -88.8    0.413   0.006   10.6  0.0    2.12  0.03    31.98   9.17      98      0.55   4  -77.7 -77.7  3C154    -
 23.71   0.80    0.049   -10.0    7.1  0.3   13.83  0.41   480.00  -88.8    4181      6.39  -9   0.50  0.29  3C167    -
 38.17  -88.8    0.252   0.008   22.6  0.4   21.71  0.98   171.23   6.90   10302     18.27   2  -77.7 -77.7  3C167    0
 32.37   1.26    0.202   -10.0   38.3  0.6   20.60  0.78   160.00  -88.8    9280     13.00  -9   0.55  0.28  3C167    -
 50.50  -88.8    0.941   0.024   42.2  0.1    8.01  0.23    82.85  12.73    1403     12.16   0  -77.7 -77.7  3C167    -
  8.60  -88.8    0.386   0.032   49.3  0.1    2.09  0.19    26.87   5.61      95      0.42   1  -77.7 -77.7  3C167    -
  1.66   0.07    0.005   -10.0   -0.1  0.3   36.92  0.80   330.00  -88.8   29801      1.19  -9   0.50  0.29  3C207    -
  2.51   0.18    0.063   -10.0    1.4  0.1    1.95  0.13    40.00  -88.8      82      0.10  -9   0.50  0.29  3C207    -
 11.29   0.24    0.024   -10.0    3.1  0.1   10.16  0.19   470.00  -88.8    2258      2.24  -9   0.49  0.29  3C207    -
  5.46  -88.8    0.250   0.002    4.2  0.0    5.25  0.05    24.65   4.74     602      0.63   1  -77.7 -77.7  3C207    0
  7.71   0.10    0.034   -10.0   13.8  0.1    5.40  0.10   230.00  -88.8     638      0.81  -9   0.51  0.29  3C207    -
  5.03  -88.8    0.298   0.004   15.4  0.0    2.43  0.03    19.53   2.66     129      0.28   0  -77.7 -77.7  3C207    -
  2.85   0.03    0.003   -10.0  -63.7  0.1   24.05  0.34   980.00  -88.8   12640      1.34  -9   0.50  0.29  3C409    -
 11.93  -88.8    0.451   0.002    3.9  0.0    3.03  0.02    32.85   7.01     201      0.88   0  -77.7 -77.7  3C409    -
 11.86  -88.8    0.331   0.003    7.7  0.0    2.91  0.04    42.08  10.70     184      0.79   3  -77.7 -77.7  3C409    -
 45.67   1.51    0.013   -10.0   11.2  0.1   12.97  0.37  3460.00  -88.8    3674     11.52  -9   0.39  0.27  3C409    -
 22.40  -88.8    0.861   0.010   13.7  0.0    1.96  0.02    38.80  18.47      83      1.28   2  -77.7 -77.7  3C409    -
 10.44  -88.8    0.413   0.011   14.0  0.0    6.90  0.13    30.85  11.38    1040      1.71   4  -77.7 -77.7  3C409    0
 11.45   0.39    0.010   -10.0   15.3  0.2   30.83  0.28  1180.00  -88.8   20779      6.88  -9   0.50  0.29  3C409    -
 20.64  -88.8    0.753   0.009   15.7  0.0    1.69  0.02    38.99  13.10      62      0.97   1  -77.7 -77.7  3C409    1
  5.17  -88.8    0.035   0.001   23.3  0.1    4.27  0.20   148.28  13.67     399      0.44   5  -77.7 -77.7  3C409    -
  6.58   0.16    0.015   -10.0  -68.3  0.5   37.29  1.19   430.00  -88.8   30404      4.78  -9   0.49  0.29  3C410    -
  0.30  -88.8    0.019   0.005  -46.3  0.3    2.53  0.68    16.11  29.14     139      0.02   7  -77.7 -77.7  3C410    -
  8.43  -88.8    0.042   0.004  -23.2  0.2    3.52  0.37   205.53  15.95     270      0.59   6  -77.7 -77.7  3C410    -
  8.24   0.37    0.015   -10.0  -21.5  0.3   16.36  0.89   550.00  -88.8    5851      2.63  -9   0.50  0.29  3C410    -
 13.06  -88.8    0.369   0.061   -0.7  0.2    3.51  0.21    42.30  13.68     269      1.07   3  -77.7 -77.7  3C410    -
 26.67  -88.8    0.654   0.025    2.6  0.2    4.33  0.34    55.56  22.19     409      3.06   2  -77.7 -77.7  3C410    -
 52.84  -88.8    2.214   0.030    7.8  0.0    2.77  0.05    59.33  24.84     167      7.08   1  -77.7 -77.7  3C410    0
 59.82   1.00    0.035   -10.0    8.0  0.2   21.77  0.39  1710.00  -88.8   10360     25.37  -9   0.52  0.29  3C410    -
 31.74  -88.8    0.688   0.009   11.3  0.1    3.55  0.11    63.79  22.10     276      3.04   0  -77.7 -77.7  3C410    1,2
  0.00  -88.8    0.118   0.004   17.8  0.1    4.81  0.25     0.00   0.00     506      0.00   4  -77.7 -77.7  3C410    -
  8.04  -88.8    0.103   0.004   25.0  0.1    3.54  0.17    82.37   8.82     274      0.58   5  -77.7 -77.7  3C410    -
  0.91  -88.8    0.016   0.001  -35.4  0.1    3.36  0.18    56.79   7.80     246      0.06   5  -77.7 -77.7  3C454.3  -
  3.02   0.05    0.005   -10.0  -31.2  0.5   36.89  1.14   570.00  -88.8   29756      2.17  -9   0.50  0.29  3C454.3  -
  0.42  -88.8    0.048   0.001  -30.4  0.0    2.00  0.05     8.92   3.30      87      0.02   4  -77.7 -77.7  3C454.3  -
  2.18  -88.8    0.015   0.001  -16.8  0.1    5.51  0.27   151.25   9.11     664      0.24   6  -77.7 -77.7  3C454.3  -
 10.73  -88.8    0.298   0.001  -10.1  0.0    2.65  0.01    41.65   1.52     153      0.64   3  -77.7 -77.7  3C454.3  0
  7.59  -88.8    0.091   0.001   -2.0  0.0    3.69  0.07    86.97   5.18     297      0.57   0  -77.7 -77.7  3C454.3  -
  9.02   0.24    0.005   -10.0   -1.1  0.1   14.96  0.29  2000.00  -88.8    4891      2.63  -9   0.52  0.29  3C454.3  -
  3.50  -88.8    0.079   0.003    0.7  0.0    1.81  0.06    46.32   4.91      71      0.13   2  -77.7 -77.7  3C454.3  -
  0.88  -88.8    0.022   0.001    3.4  0.2    4.20  0.35    40.89  12.03     386      0.07   1  -77.7 -77.7  3C454.3  -
  2.94   0.04    0.008   -10.0  -67.8  0.2   32.25  0.57   370.00  -88.8   22741      1.85  -9   0.50  0.29  4C13.67  -
 17.73  -88.8    1.161   0.015    2.0  0.0    2.10  0.02    25.81   6.76      96      1.22   1  -77.7 -77.7  4C13.67  -
 30.01   2.21    0.061   -10.0    4.9  0.1    8.37  0.42   490.00  -88.8    1532      4.88  -9   0.31  0.27  4C13.67  -
 18.90  -88.8    1.019   0.010    6.2  0.0    4.01  0.04    29.56   8.37     351      2.36   0  -77.7 -77.7  4C13.67  0
  2.36  -88.8    0.030   0.003   20.2  0.4    8.20  0.89    80.73   7.14    1469      0.38   2  -77.7 -77.7  4C13.67  -
  6.63   0.16    0.018   -10.0   20.4  0.4   46.69  0.45   360.00  -88.8   47663      6.03  -9   0.51  0.29  4C13.67  -
 35.27  -88.8    6.994   1.782   -2.2  0.0    1.26  0.08    35.31  16.92      34      6.05   1  -77.7 -77.7  4C22.12  0,1
 60.36  -88.8    7.911   8.309    4.4  0.1    0.83  0.19    60.38  27.61      14      7.68   4  -77.7 -77.7  4C22.12  -
 68.21  -88.8    1.756   0.045    5.1  0.1   11.63  0.21    82.46  27.02    2954     32.79   3  -77.7 -77.7  4C22.12  -
 82.17   9.17    0.183   -10.0    6.2  0.2   19.77  0.51   450.00  -88.8    8548     31.58  -9   0.45  0.27  4C22.12  -
 67.48  -88.8    4.067   2.174    7.5  0.1    0.90  0.15    68.66  26.77      17      4.90   0  -77.7 -77.7  4C22.12  -
 19.49  -88.8    0.840   0.034   15.8  0.1    3.97  0.16    34.28  12.06     345      2.23   2  -77.7 -77.7  4C22.12  -
  4.27   0.43    0.009   -10.0   -5.4  1.2   40.10  1.61   490.00  -88.8   35154      3.32  -9   0.50  0.29  P0428+20 -
 19.33  -88.8    1.132   0.016    3.2  0.0    3.42  0.04    28.52  19.69     255      2.15   2  -77.7 -77.7  P0428+20 0
 62.19   1.66    0.028   -10.0    5.3  0.0   11.30  0.33  2200.00  -88.8    2789     13.67  -9   0.53  0.27  P0428+20 -
 24.22  -88.8    1.318   0.040    9.2  0.0    3.70  0.05    33.07  18.46     298      3.14   1  -77.7 -77.7  P0428+20 -
 21.22  -88.8    2.346   0.128   10.6  0.0    1.50  0.05    23.47   9.38      49      1.61   0  -77.7 -77.7  P0428+20 1
  2.50   0.94    0.125   -10.0  -27.4  0.3    1.83  0.84    20.00  -88.8      72      0.09  -9   0.50  0.29  T0526+24 -
 14.45   1.05    0.206   -10.0  -21.2  1.6   18.94  2.28    70.00  -88.8    7840      5.35  -9   0.46  0.29  T0526+24 -
